no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-11403;3411403;S6 11.410 E106 47.604;;;Jakarta;19.8;25.5;45.3;Plumpang
34-11404;3411404;S6 09.363 E106 47.536;;;Jakarta;21.7;18.4;40.1;Plumpang
34-11405;3411405;S6 12.227 E106 47.802;;;Jakarta;28.2;25.9;54.1;Plumpang
34-11407 (dex);3411407;S6 11.332 E106 47.279;;;Jakarta;31;19.7;50.7;Plumpang
34-11502 (dex);3411502;S6 09.937 E106 45.806;;;Jakarta;31.6;23.5;55.1;Plumpang
34-11504;3411504;S6 11.327 E106 45.734;;;Jakarta;29.8;26;55.8;Plumpang
34-11505;3411505;S6 11.883 E106 46.300;;;Jakarta;32.4;32.7;65.1;Plumpang
34-11506;3411506;S6 10.634 E106 45.454;;;Jakarta;31;25;56;Plumpang
34-11507;3411507;S6 12.524 E106 46.207;;;Jakarta;31;30.5;61.5;Plumpang
34-11508;3411508;S6 12.047 E106 46.156;;;Jakarta;32.3;32.7;65;Plumpang
34-11509;3411509;S6 12.768 E106 46.365;;;Jakarta;32.1;30.5;62.6;Plumpang
34-11510;3411510;S6 10.806 E106 45.984;;;Jakarta;29.1;26.1;55.2;Plumpang
34-11511;3411511;S6 11.704 E106 46.919;;;Jakarta;28.8;27.1;55.9;Plumpang
34-11512;3411512;S6 11.780 E106 46.151;;;Jakarta;30.4;25.5;55.9;Plumpang
34-11601;3411601;S6 11.870 E106 45.206;;;Jakarta;34.4;34.1;68.5;Plumpang
34-11602;3411602;S6 10.737 E106 44.930;;;Jakarta;33.5;31.1;64.6;Plumpang
34-11604;3411604;S6 13.134 E106 45.643;;;Jakarta;33.7;31.3;65;Plumpang
34-11605;3411605;S6 11.833 E106 45.110;;;Jakarta;31.7;35.5;67.2;Plumpang
34-11606;3411606;S6 11.901 E106 45.603;;;Jakarta;30.8;33.7;64.5;Plumpang
34-11607;3411607;S6 11.755 E106 43.780;;;Jakarta;35.7;31.3;67;Plumpang
34-11608;3411608;S6 13.048 E106 45.823;;;Jakarta;38.8;30.8;69.6;Plumpang
34-11609;3411609;S6 13.155 E106 43.854;;;Jakarta;36.6;34.6;71.2;Plumpang
34-11610;3411610;S6 11.059 E106 43.822;;;Jakarta;33.8;29.1;62.9;Plumpang
34-11611;3411611;S6 11.203 E106 43.509;;;Jakarta;34.2;29.9;64.1;Plumpang
34-11612;3411612;S6 11.879 E106 44.512;;;Jakarta;33.2;35.4;68.6;Plumpang
34-11703;3411703;S6 08.934 E106 43.708;;;Jakarta;30.8;25.2;56;Plumpang
34-11704;3411704;S6 09.863 E106 46.595;;;Jakarta;26.9;20.9;47.8;Plumpang
34-11705;3411705;S6 10.155 E106 43.626;;;Jakarta;31.8;43.3;75.1;Plumpang
34-11706;3411706;S6 09.167 E106 43.158;;;Jakarta;21.2;40.5;61.7;Plumpang
34-11707;3411707;S6 07.824 E106 43.781;;;Jakarta;35;23.5;58.5;Plumpang
34-11708;3411708;S6 10.971 E106 43.133;;;Jakarta;33.6;32.6;66.2;Plumpang
34-11709;3411709;S6 09.442 E106 45.994;;;Jakarta;26.2;22.7;48.9;Plumpang
34-11710;3411710;S6 08.024 E106 43.839;;;Jakarta;33.5;24.1;57.6;Plumpang
34-11711;3411711;S6 08.660 E106 43.270;;;Jakarta;32.3;27.4;59.7;Plumpang
34-11712;3411712;S6 09.282 E106 44.699;;;Jakarta;28.7;27.5;56.2;Plumpang
34-11713;3411713;S6 09.494 E106 45.963;;;Jakarta;26.7;22.3;49;Plumpang
34-11714;3411714;S6 10.158 E106 43.699;;;Jakarta;35.5;27.4;62.9;Plumpang
34-11801;3411801;S6 08.590 E106 41.900;;;Jakarta;33.8;29.6;63.4;Plumpang
34-11802;3411802;S6 06.210 E106 42.662;;;Jakarta;36.3;29.9;66.2;Plumpang
34-11803;3411803;S6 09.540 E106 41.558;;;Jakarta;34;32.7;66.7;Plumpang
34-11804;3411804;S6 07.826 E106 41.286;;;Jakarta;35.7;31.3;67;Plumpang
34-11806;3411806;S6 07.821 E106 42.206;;;Jakarta;35.1;30.8;65.9;Plumpang
34-12103;3412103;S6 17.552 E106 48.704;;;Jakarta;38.4;29.9;68.3;Plumpang
34-12105;3412105;S6 15.999 E106 48.942;;;Jakarta;40;32.9;72.9;Plumpang
34-12113;3412113;S6 15.737 E106 48.505;;;Jakarta;41.6;42.6;84.2;Plumpang
34-12114;3412114;S6 14.664 E106 47.285;;;Jakarta;49.7;47.2;96.9;Plumpang
34-12115 (dex);3412115;S6 15.581 E106 47.342;;;Jakarta;44.2;43.7;87.9;Plumpang
34-12204;3412204;S6 13.719 E106 46.686;;;Jakarta;35.6;29.3;64.9;Plumpang
34-12205;3412205;S6 12.488 E106 47.287;;;Jakarta;32;26.9;58.9;Plumpang
34-12208;3412208;S6 14.917 E106 46.667;;;Jakarta;47.1;45.1;92.2;Plumpang
34-12209;3412209;S6 14.211 E106 45.190;;;Jakarta;51.9;49.9;101.8;Plumpang
34-12210;3412210;S6 12.873 E106 47.734;;;Jakarta;33.2;26.2;59.4;Plumpang
34-12212;3412212;S6 14.462 E106 45.374;;;Jakarta;52;50;102;Plumpang
34-12213;3412213;S6 15.603 E106 46.610;;;Jakarta;43;43.9;86.9;Plumpang
34-12214;3412214;S6 15.201 E106 46.400;;;Jakarta;36.6;42.2;78.8;Plumpang
34-12301;3412301;S6 16.214 E106 45.910;;;Jakarta;43.7;38.1;81.8;Plumpang
34-12302;3412302;S6 15.446 E106 46.890;;;Jakarta;45.5;43.5;89;Plumpang
34-12303;3412303;S6 15.487 E106 45.966;;;Jakarta;45;37.8;82.8;Plumpang
34-12304;3412304;S6 15.685 E106 46.027;;;Jakarta;43;39.2;82.2;Plumpang
34-12305;3412305;S6 17.155 E106 45.625;;;Jakarta;45.1;39.9;85;Plumpang
34-12306;3412306;S6 16.244 E106 45.608;;;Jakarta;39.5;45.8;85.3;Plumpang
34-12307;3412307;S6 16.710 E106 46.370;;;Jakarta;37.8;37.9;75.7;Plumpang
34-12401;3412401;S6 15.516 E106 47.795;;;Jakarta;41;38.4;79.4;Plumpang
34-12404;3412404;S6 16.786 E106 47.828;;;Jakarta;40.4;35.9;76.3;Plumpang
34-12405;3412405;S6 18.319 E106 47.637;;;Jakarta;40.5;33.2;73.7;Plumpang
